table_name,schema_observed,insert_observed,query_evidence_count,schema_sources,insert_sources,suggested_target,migration_priority,action,canonical_old_show_table,object_class
judicial_rulings,False,False,0,,,assistant.judicial_rulings / reference_documents,P1,migrate_or_stage,True,canonical_old_table
knowledge_base,False,True,1,,.manus/db/db-query-error-1765143239886.json,assistant.legacy_import_register first; target decision required,Review,review,False,legacy_seed_or_alias_table
knowledge_documents,True,True,36,.manus/db/db-query-1767974651298.json,.manus/db/db-query-1765143284155.json | .manus/db/db-query-1765143321218.json | .manus/db/db-query-1765143346752.json | .manus/db/db-query-1765145119332.json | .manus/db/db-query-1765145162608.json,assistant.knowledge_documents + assistant.reference_documents,P1,migrate_or_stage,True,canonical_old_table
knowledge_sources,False,False,3,,,assistant.knowledge_sources,P1,migrate_or_stage,True,canonical_old_table
land_references,False,True,2,,.manus/db/db-query-1767975773406.json,assistant.reference_documents(domain_scope=historical/waqf_law),P1,migrate_or_stage,True,canonical_old_table
learning_log,False,False,0,,,assistant.legacy_import_register first; target decision required,P3,migrate_or_stage,True,canonical_old_table
legal_precedents,False,False,0,,,assistant.legal_precedents / reference_documents,P1,migrate_or_stage,True,canonical_old_table
message_ratings,False,False,0,,,assistant.message_ratings,P2,migrate_or_stage,True,canonical_old_table
messages,True,False,5,.manus/db/db-query-1765146509671.json,,assistant.messages,P2,migrate_or_stage,True,canonical_old_table
ministerial_instructions,False,False,0,,,assistant.ministerial_instructions / reference_documents,P1,migrate_or_stage,True,canonical_old_table
notifications,False,False,0,,,assistant.notifications / platform_notifications,P3,migrate_or_stage,True,canonical_old_table
ottoman_land_law,False,False,0,,,assistant.reference_documents + knowledge_documents,P1,migrate_or_stage,True,canonical_old_table
page_settings,True,True,8,.manus/db/db-query-1770368753168.json,.manus/db/db-query-error-1770368748592.json | .manus/db/db-query-error-1770368775940.json,assistant.page_settings or platform CMS bridge,P1,migrate_or_stage,True,canonical_old_table
permissions,False,False,1,,,core/platform RBAC or assistant legacy mirror only,Domain-mapped / no direct assistant ownership,map_to_sovereign_domain,True,canonical_old_table
ratings,False,False,0,,,assistant.ratings,P2,migrate_or_stage,True,canonical_old_table
role_permissions,False,False,0,,,core/platform RBAC or assistant legacy mirror only,Domain-mapped / no direct assistant ownership,map_to_sovereign_domain,True,canonical_old_table
roles,False,True,1,,.manus/db/db-query-1769208760921.json,core/platform RBAC or assistant legacy mirror only,Domain-mapped / no direct assistant ownership,map_to_sovereign_domain,True,canonical_old_table
search_logs,False,False,0,,,assistant.search_logs,P2,migrate_or_stage,True,canonical_old_table
section_templates,False,False,0,,,assistant.legacy_import_register first; target decision required,P3,migrate_or_stage,True,canonical_old_table
settings,False,False,1,,,assistant.legacy_import_register first; target decision required,Review,review,False,legacy_seed_or_alias_table
siteSettings,False,False,1,,,assistant.legacy_import_register first; target decision required,Review,review,False,legacy_seed_or_alias_table
site_settings,False,False,3,,,assistant.legacy_import_register first; target decision required,Review,review,True,canonical_old_table
suggested_questions,False,False,0,,,assistant.suggested_questions / assistant.chat_prompts,P1,migrate_or_stage,True,canonical_old_table
system_settings,False,False,0,,,assistant.legacy_import_register first; target decision required,Review,review,True,canonical_old_table
table_settings,False,False,0,,,assistant.legacy_import_register first; target decision required,P3,migrate_or_stage,True,canonical_old_table
user_notifications,False,False,0,,,assistant.user_notifications / platform_notifications,P3,migrate_or_stage,True,canonical_old_table
users,False,False,2,,,"core/auth, not assistant source of truth",Domain-mapped / no direct assistant ownership,map_to_sovereign_domain,True,canonical_old_table
waqf_cases,False,False,0,,,"cases/legal_system, not assistant source of truth",Domain-mapped / no direct assistant ownership,map_to_sovereign_domain,True,canonical_old_table
waqf_categories,False,False,0,,,waqf master data or assistant taxonomy mirror,Domain-mapped / no direct assistant ownership,map_to_sovereign_domain,True,canonical_old_table
waqf_deeds,False,False,0,,,"waqf/cases domain, reference-only inside assistant if needed",Domain-mapped / no direct assistant ownership,map_to_sovereign_domain,True,canonical_old_table
waqf_properties,False,False,0,,,"waqf_assets/properties, not assistant source of truth",Domain-mapped / no direct assistant ownership,map_to_sovereign_domain,True,canonical_old_table
