queue_no,registry_key,title,source,author,year,legacy_category,target_category,domain_scope,authority_tier_candidate,target_authority_level_if_approved,review_bucket,planned_import_stage,target_table_plan,reviewer_roles_required,minimum_checks,blocking_flags,human_decision_required,initial_review_status,approval_decision,reference_document_status_on_import,knowledge_document_status_on_import,is_chat_eligible,chat_priority,supabase_dml_status,origin,origin_file,content_preview
11,a4459c8e000f,إدارة الأوقاف في عهد الانتداب البريطاني,https://badil.org/publications/al-majdal/issues/items/409.html,,,تاريخي,historical,historical,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,research_data/knowledge_base.json,"في عهد الانتداب البريطاني على فلسطين، كانت الأوقاف الإسلامية تدار من قبل المجلس الإسلامي الأعلى.

النظام الإداري:
- المجلس الإسلامي الأعلى: أدار الأوقاف الإسلامية
- الكنائس المسيحية: أدارت الأوقاف المسيحية
- السنة: 1937

التحديات:
1. السيطرة البريطانية: محاولات السيطرة على الأوقاف
2. المصادرة: مصادرة بعض الأراضي الوقفية
3. التوثيق: صعوبات في تسجيل الأوقاف

الأهمية: هذه الفترة شهدت محاولات لتنظيم الأوقاف وفق النظام القانوني البريطاني، مع الحفاظ على الطابع الإسلامي للإدارة."
12,95100ac3c3f4,الأوقاف والسياسة في مصر - إبراهيم البيومي غانم,,إبراهيم البيومي غانم,1998,تاريخي,historical,historical,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure;source_missing_blocker,missing_source,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,new_references.json,"كتاب 'الأوقاف والسياسة في مصر' للدكتور إبراهيم البيومي غانم من الدراسات المهمة التي تتناول العلاقة بين الأوقاف والسلطة السياسية في مصر. نُشر الكتاب عام 1998م.

يتناول الكتاب تاريخ الأوقاف في مصر منذ الفتح الإسلامي حتى نهاية القرن العشرين، مع التركيز على العلاقة بين الأوقاف والدولة. يعرض الكتاب كيف استخدمت الدولة الأوقاف كأداة سياسية، وكيف قاومت الأوقاف محاولات السيطرة عليها.

من أهم موضوعات الكتاب:
1. دور الأوقاف في الاستقلال الاقتصادي للمؤسسات الدينية والتعليمية عن الدولة.
2. محاولات الدولة للسيطرة على الأوقاف عبر التاريخ (الدولة الأيوبية، المملوكية، العثمانية، دولة محمد علي، والدولة الحديثة)"
13,730f90ef94c7,تاريخ إدارة الأوقاف في فلسطين,https://www.tawaf.ps/,,,تاريخي,historical,historical,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,research_data/knowledge_base.json,"مرت إدارة الأوقاف في فلسطين بعدة مراحل تاريخية:

1. عهد الانتداب البريطاني (1921-1948):
- إدارة الأوقاف من قبل المجلس الإسلامي الأعلى
- نظام المجلس الصادر سنة 1921م

2. بعد النكبة (1948-1967):
- إدارة الأوقاف في الضفة الغربية من قبل الأردن
- إدارة الأوقاف في غزة من قبل مصر

3. بعد الاحتلال (1967-1994):
- محاولات إسرائيلية للسيطرة على الأوقاف
- مقاومة فلسطينية للحفاظ على الأوقاف

4. السلطة الوطنية الفلسطينية (1994-الآن):
- إنشاء وزارة الأوقاف والشؤون الدينية
- إصدار قوانين وتعليمات جديدة"
14,204d6aec31d2,أحكام الوقف في الشريعة الإسلامية - محمد عبيد الكبيسي,,محمد عبيد الكبيسي,1977,فقهي,jurisprudence,fiqh,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure;source_missing_blocker,missing_source,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,new_references.json,"كتاب 'أحكام الوقف في الشريعة الإسلامية' للدكتور محمد عبيد الكبيسي من أهم الدراسات الفقهية المتخصصة في الوقف الإسلامي. نُشر الكتاب عام 1977م، ويُعد مرجعاً أساسياً في مجال الأوقاف.

يتناول الكتاب جميع جوانب الوقف الإسلامي بتفصيل شامل، ويقع في جزأين كبيرين. يعرض الكتاب أحكام الوقف في المذاهب الأربعة مع المقارنة والترجيح، كما يعرض التطبيقات العملية للوقف عبر التاريخ الإسلامي.

يتضمن الكتاب الأبواب التالية: تعريف الوقف ومشروعيته وحكمه، أركان الوقف (الواقف، الموقوف، الموقوف عليه، الصيغة)، شروط الوقف، أنواع الوقف (الخيري والأهلي والمشترك)، آثار الوقف، إدارة الوقف ونظارته، استبدال الوقف، إنهاء الوقف،"
15,413fcc96ae46,إحياء الوقف المتعطل - الأحكام,الفقه الإسلامي - إدارة الأوقاف,,,فقهي,jurisprudence,fiqh,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/additional_references.json,إذا تعطل الوقف وخرب، فللناظر أو القاضي إحياؤه وتعميره من ريع الوقف أو من بيت المال إن لم يكن للوقف ريع.
16,a329b239daec,الوقف الإسلامي بين النظرية والتطبيق - حسن عبد الله الأمين,,حسن عبد الله الأمين,2009,فقهي,jurisprudence,fiqh,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure;source_missing_blocker,missing_source,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,new_references.json,"كتاب 'الوقف الإسلامي بين النظرية والتطبيق' للدكتور حسن عبد الله الأمين من الدراسات الشاملة التي تجمع بين الجانب الفقهي والجانب العملي للوقف الإسلامي. نُشر الكتاب عام 2009م.

يتكون الكتاب من قسمين رئيسيين:
القسم الأول: النظرية الفقهية للوقف، ويشمل: تعريف الوقف، مشروعيته، حكمه، أركانه، شروطه، أنواعه، آثاره، وأحكامه في المذاهب الأربعة.
القسم الثاني: التطبيق العملي للوقف، ويشمل: تاريخ الأوقاف في الإسلام، نماذج من الأوقاف التاريخية، إدارة الأوقاف، استثمار الأوقاف، التحديات المعاصرة، والحلول المقترحة.

من أهم ما يميز الكتاب:
1. الجمع بين الفقه والتاريخ والإدارة والاقتصاد في دراسة الوقف.
2. عرض نماذج"
17,28a683b1ed0d,النظام القانوني للأراضي الأميرية في فلسطين,,حسين عاهد العيسه,2016,law,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation;source_missing_blocker,missing_source,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,old_db_success_insert_query,db-query-error-1767974642436.json,دراسة متخصصة في النوع الثاني من أنواع الأراضي في قانون الأراضي العثماني. تعتبر الأراضي الأميرية الأكثر انتشاراً في الأراضي الفلسطينية عبر المراحل التاريخية المختلفة.
18,812f3d50bc3c,حق التصرف الوارد على الأراضي الأميرية وفقاً للتشريعات النافذة في فلسطين,,أنسام عارف جاسر كراكره,2025,law,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation;source_missing_blocker,missing_source,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,old_db_success_insert_query,db-query-error-1767974642436.json,دراسة تحليلية مقارنة لحق التصرف الوارد على الأراضي الأميرية، سواء المستمدة من قانون الأراضي العثماني لسنة 1858م، أو القوانين الأردنية المطبقة في الضفة الغربية، أو التشريعات الصادرة عن السلطة الوطنية الفلسطينية.
19,a6c95a9cbd11,ديار بئر السبع: جنوب فلسطين العثماني - الأرض والمجتمع والدولة,,أحمد أمارة,2024,law,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation;source_missing_blocker,missing_source,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,old_db_success_insert_query,db-query-error-1767974642436.json,دراسة شاملة لقضاء بئر السبع الذي كان جزءاً من متصرفية القدس. يتناول الكتاب تطبيق قانون الأراضي العثماني ونظام القضاء بشأن حقوق ملكية الأراضي، ويشمل تحليلاً لقانون الأراضي، والقانون المدني، وقانون الطابو.
20,b2032aa81e4f,قانون الأراضي العثماني (1858),الدولة العثمانية,,,law,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,old_db_success_insert_query,db-query-1767974719121.json,"القانون الأساسي الذي نظم ملكية الأراضي في الدولة العثمانية. قسّم الأراضي إلى خمسة أقسام: المملوكة، الأميرية، الموقوفة، المتروكة، والموات. ما زال ساري النفاذ في الضفة الغربية وغزة. يحتوي على 15 مادة قانونية تفصيلية.

المصدر: الدولة العثمانية
السنة: 1858
النوع: قانون"
21,b2de1d6144ee,قانون الأراضي العثماني (1858),https://maqam.najah.edu/legislation/169/,الدولة العثمانية,1858,law,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,research_data/jerusalem_land_references.json,القانون الأساسي الذي نظم ملكية الأراضي في الدولة العثمانية. قسّم الأراضي إلى خمسة أقسام: المملوكة، الأميرية، الموقوفة، المتروكة، والموات. ما زال ساري النفاذ في الضفة الغربية وغزة. يحتوي على 15 مادة قانونية تفصيلية.
22,f0ba5b7b8f92,قانون الأراضي العثماني - المادة 12: وقف الأراضي الأميرية,قانون الأراضي العثماني 1858,,,law,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,old_db_select_row,db-query-1767967445194.json,
