table_name,object_kind,estimated_rows,priority,anon_privilege_count,authenticated_privilege_count,anon_privileges,authenticated_privileges,policy_count,policy_roles,evidence_class,decision
document_candidate_links,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,1,{authenticated},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
document_file_type_uat_evidence,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,3,{authenticated},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
document_files,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,1,{authenticated},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
document_jobs,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,1,{authenticated},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
document_operational_actions,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,2,{authenticated},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
document_pages,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,1,{authenticated},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
document_reviews,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,1,{authenticated},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
document_structured_fields,r,67,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,1,{authenticated},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
document_transcriptions,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,1,{authenticated},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
document_uncertain_segments,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,1,{authenticated},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
fetch_logs,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,4,{public},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
fetched_content,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,4,{public},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
knowledge_access_events,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
knowledge_citations,r,746,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,4,{public},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
knowledge_documents,r,614,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,4,{public},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
knowledge_provenance_reconstruction_items_v1_1,r,602,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
knowledge_provenance_reconstruction_runs_v1_1,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
knowledge_provenance_resolution_decisions_v1_1,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
knowledge_review_task_reconciliation_events,r,276,CRITICAL,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
knowledge_scope_assignments,r,-1,CRITICAL,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
knowledge_sources,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,4,{public},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
legacy_import_register,r,995,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
legacy_operational_records,r,63,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
messages,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,3,{public},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
reference_documents,r,608,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,4,{public},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
reference_files,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,4,{public},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
review_events,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,4,{public},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
system_settings,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,4,{public},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
